id_operacion;id;no, fmi;dirección territorial;municipio;fecha_envio_juridico;folio_matriz;novedadfmi_tipo;npnmatriz;novedad_numero_predial;folio_derivados;predio tipo;condicion prop derivado;área registral m2;coeficiente;área coefieciente
604795;1256;1256;ATLÁNTICO;TUBARÁ;29/09/2025;040-21631;;8,832E+28;Cancelacion_por_Englobe;;;;;;
604803;1255;1255;ATLÁNTICO;TUBARÁ;29/09/2025;040-79150;;8,832E+28;Cancelacion_por_Englobe;;;;;;
L4_1;3;3;BOYACÁ;RAMIRIQUÍ;29/09/2025;090-24352;;1,5599E+29;Englobe_Nuevo_FMI;090-64427;Privado_Privado;NPH;9654;;
L4_1;1;1;BOYACÁ;RAMIRIQUÍ;29/09/2025;090-24351;;1,5599E+29;Englobe_Nuevo_FMI;090-64427;Privado_Privado;NPH;9654;;
L4_1;2;2;BOYACÁ;RAMIRIQUÍ;29/09/2025;090-24350;;1,5599E+29;Englobe_Nuevo_FMI;090-64427;Privado_Privado;NPH;9654;;
L4_1;4;4;BOYACÁ;RAMIRIQUÍ;29/09/2025;090-24352;;1,5599E+29;Englobe_Nuevo_FMI;090-64427;Privado_Privado;NPH;9654;;
L4_10;10;10;BOYACÁ;RAMIRIQUÍ;29/09/2025;090-36048;;1,5599E+29;Desenglobe_Venta_Parcial;090-63972;Privado_Privado;NPH;5667;;
L4_1000;1000;1000;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380597;Privado_Privado;PH_Unidad_Predial; 439,65;0.22;
L4_1001;1001;1001;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380600;Privado_Privado;PH_Unidad_Predial;420;0.21;
L4_1002;1002;1002;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380353;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1003;1003;1003;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380354;Privado_Privado;PH_Unidad_Predial;526.21;0.27;
L4_1004;1004;1004;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380351;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1005;1005;1005;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380355;Privado_Privado;PH_Unidad_Predial;505.78;0.26;
L4_1006;1006;1006;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380471;Privado_Privado;PH_Unidad_Predial;400;0.0;
L4_1007;1007;1007;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380352;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1008;1008;1008;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380436;Privado_Privado;PH_Unidad_Predial;552.1;0.0;
L4_1009;1009;1009;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380472;Privado_Privado;PH_Unidad_Predial;400;0.0;
L4_101;101;101;BOYACÁ;SOGAMOSO;29/09/2025;095-13321;;1,5759E+29;Desenglobe_Division_Material;095-162282;Privado_Privado;PH_Unidad_Predial;19.18;0.06706;19.18
L4_1010;1010;1010;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380345;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1011;1011;1011;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380473;Privado_Privado;PH_Unidad_Predial;400;0.0;
L4_1012;1012;1012;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380356;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1013;1013;1013;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380346;Privado_Privado;PH_Unidad_Predial;505,78 ;0.26;
L4_1014;1014;1014;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380347;Privado_Privado;PH_Unidad_Predial;526.21;0.27;
L4_1015;1015;1015;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380348;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1016;1016;1016;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380349;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1017;1017;1017;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380350;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1018;1018;1018;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380470;Privado_Privado;PH_Unidad_Predial;400;0.0;
L4_1019;1019;1019;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380357;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_102;102;102;BOYACÁ;SOGAMOSO;29/09/2025;095-13321;;1,5759E+29;Desenglobe_Division_Material;095-162283;Privado_Privado;PH_Unidad_Predial;17.63;0.02774;17.63
L4_1020;1020;1020;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380502;Privado_Privado;PH_Unidad_Predial;400;0.0;
L4_1021;1021;1021;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380467;Privado_Privado;PH_Unidad_Predial;300;0.67;
L4_1022;1022;1022;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380368;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1023;1023;1023;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380370;Privado_Privado;PH_Unidad_Predial; 526,21;0.27;
L4_1024;1024;1024;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380369;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1025;1025;1025;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380371;Privado_Privado;PH_Unidad_Predial;505.78;0.26;
L4_1026;1026;1026;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380366;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1027;1027;1027;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380374;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1028;1028;1028;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380373;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1029;1029;1029;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380372;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_103;103;103;BOYACÁ;SOGAMOSO;29/09/2025;095-13321;;1,5759E+29;Desenglobe_Division_Material;095-162284;Privado_Privado;PH_Unidad_Predial;17.59;0.02767;17.59
L4_1030;1030;1030;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380367;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1031;1031;1031;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380468;Privado_Privado;PH_Unidad_Predial;300;0.0;
L4_1032;1032;1032;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380343;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1033;1033;1033;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380359;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1034;1034;1034;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380358;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1035;1035;1035;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380361;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1036;1036;1036;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380360;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1037;1037;1037;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380469;Privado_Privado;PH_Unidad_Predial;400;0.0;
L4_1038;1038;1038;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380365;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1039;1039;1039;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380364;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_104;104;104;BOYACÁ;SOGAMOSO;29/09/2025;095-13321;;1,5759E+29;Desenglobe_Division_Material;095-162285;Privado_Privado;PH_Unidad_Predial;60.66;0.15905;60.66
L4_1040;1040;1040;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380363;Privado_Privado;PH_Unidad_Predial;526.21;0.27;
L4_1041;1041;1041;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380362;Privado_Privado;PH_Unidad_Predial;505.78;0.26;
L4_1042;1042;1042;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380344;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
