"globalid";"altura";"anio_construccion";"area_construccion";"area_privada_construida";"etiqueta";"id_caracteristicasunidadconstru";"id_operacion_predio";"planta_ubicacion";"tipo_planta";"caracteristicasuc_guid";"codigo";"identificador";"observaciones"
{F8422F8E-4B54-4FAD-B475-9246EA9CE396};2;1999,0000;301,7200;;A;"5115342";"6031277";1;Piso;{4102D8E6-83E3-47BE-A55B-022E2EF5F6FE};"634010100000000510024000000000";A;update_Caso 5
{F8443417-EF20-4327-8E77-AA3A6BE0ACEC};2;2019,0000;7,9050;;"";Dummy;"6029184";1;Piso;{CFB94158-C841-4F25-BCC0-40DED08D61B8};"634010001000000040389000000000";A;update_Caso 12
{F845C837-5D63-4D6D-963F-15CCE1E5795B};2;1992,0000;182,0000;;I;"5112521";"6029433";1;Piso;{9E720181-D3DC-430C-B877-F6D92A0C5485};"634010001000000050011000000000";I;update_Caso 5
{F848DF58-C88D-4866-9F21-050F34C80465};2;1995,0000;65,0000;;A;"21066823";"6031193";1;Piso;{92C85E96-BA22-456C-BF5F-EF76CE82B3FB};"634010100000000490901900000045";A;update_Caso 1
{F84A1496-E01D-49CC-8719-66C224DAED66};2;2017,0000;49,7400;;A;"21112117";"14054237";1;Piso;{352F0148-055C-45FC-A3D1-78B84E3E921A};"634010100000002100012902010003";A;update_Caso 1
{F84C0FD2-A87E-4BE5-B792-01756838ED7F};2;2002,0000;60,0200;;A;"5118915";"6035091";1;Piso;{D7162F56-CE08-4615-9977-372677C9FB2F};"634010100000002950007000000000";A;update_Caso 1
{F84C52C4-7F70-46AF-9D00-74286ABB352B};2;2012,0000;42,4670;;"";Dummy;"6029778";1;Piso;{84FF171E-677B-4353-B3D6-0A18A70EE395};"634010001000000060423000000000";A;update_Caso 12
{F84EA0ED-F4A2-4509-95A0-F3C9E0D46FFD};2;2005,0000;6,0000;;B;"21044498";"6038242";1;Piso;{F8E09954-4483-48C3-8E19-B767E4E00F8A};"634010100000004980002000000000";B;update_Caso 1
{F84F375C-0516-4343-9022-2F53A508836A};2;2022,0000;26,0000;;B;"19410250";"6028152";0;Piso;{C7CBF6A0-3AB3-4565-B8E9-1E49983F2BF8};"634010001000000010803800000226";B;update_Caso 9
{F85A5E67-FE13-4AAA-8B5F-85F2A6F60F34};2;1980,0000;41,4000;;A;"5113564";"6030061";1;Piso;{948835B0-0326-49A3-9F10-BFB9BB3DFCDC};"634010100000000130025000000000";A;update_Caso 1
{F85B1164-0BED-48BF-B130-E56ED2C65024};2;2010,0000;67,0869;; ;Dummy;"6034307";2;Piso;{08735798-4142-4CD5-BC36-3E18AB230A71};"634010100000002450009000000000";A;update_Caso 11
