"left";"tipo_anexo";"count"
"13836";Galpones_Gallineros_Tipo_20;4
"15664";Piscinas_Tipo_50;7
"15842";Marquesinas_Tipo_20;1
"66687";Secaderos_Tipo_40;319
"23675";Albercas_Baniaderas_Tipo_40;2
"15804";Cocheras_Marraneras_Porquerizas_Tipo_40;28
"15189";Marquesinas_Tipo_40;1
"23555";Establos_Pesebreras_Tipo_60;54
"15861";Kioskos_Tipo_40;1
"15599";Cocheras_Marraneras_Porquerizas_Tipo_60;16
"15764";Tanques_Tipo_80;2
"63401";Corrales_Tipo_80;4
"08832";Tanques_Tipo_20;2
"15759";Pozos_Tipo_60;1
"63401";Piscinas_Tipo_50;354
"15798";Establos_Pesebreras_Tipo_40;5
"23570";Kioskos_Tipo_20;30
"08832";Piscinas_Tipo_60;12
"15469";Establos_Pesebreras_Tipo_40;71
"15835";Establos_Pesebreras_Tipo_40;4
"15469";Beneficiaderos_Tipo_80;4
"25001";Establos_Pesebreras_Tipo_80;2
"25001";Marquesinas_Tipo_60;113
"15469";Tanques_Tipo_40;10
"50313";Marquesinas_Tipo_40;22
"13430";Cocheras_Marraneras_Porquerizas_Tipo_60;1
"68179";Establos_Pesebreras_Tipo_20;1
"23555";Kioskos_Tipo_40;173
"25183";Establos_Pesebreras_Tipo_80;4
"66045";Marquesinas_Tipo_20;1
"15804";Marquesinas_Tipo_20;6
"23350";Tanques_Tipo_20;8
"63401";Kioskos_Tipo_40;20
"68861";Cocheras_Marraneras_Porquerizas_Tipo_40;3
"66383";Cimientos_Estructura_Muros_Placabase_Tipo_40;1
"15599";Cocheras_Marraneras_Porquerizas_Tipo_20;5
"70124";Galpones_Gallineros_Tipo_40;3
"23555";Establos_Pesebreras_Tipo_20;37
"15835";Corrales_Tipo_40;1
"15664";Establos_Pesebreras_Tipo_60;2
"15835";Kioskos_Tipo_80;2
"13836";Corrales_Tipo_60;20
"68745";Establos_Pesebreras_Tipo_20;5
"68861";Piscinas_Tipo_60;2
"66687";Secaderos_Tipo_80;3
"63401";Corrales_Tipo_40;26
"25295";Cimientos_Estructura_Muros_Placabase_Tipo_60;20
"68745";Piscinas_Tipo_40;1
"15469";Galpones_Gallineros_Tipo_20;1
"70124";Kioskos_Tipo_40;23
"25001";Piscinas_Tipo_80;1
"25772";Kioskos_Tipo_40;13
"15325";Establos_Pesebreras_Tipo_20;1
"15469";Corrales_Tipo_60;2
"23079";Establos_Pesebreras_Tipo_40;57
"66383";Piscinas_Tipo_50;2
"15798";Piscinas_Tipo_50;3
"25295";Kioskos_Tipo_60;7
"63401";Marquesinas_Tipo_20;15
"15759";Cimientos_Estructura_Muros_Placabase_Tipo_80;158
"23350";Kioskos_Tipo_40;13
"68861";Galpones_Gallineros_Tipo_20;1
"68101";Tanques_Tipo_60;1
"63401";Toboganes_Tipo_60;1
"63401";Cimientos_Estructura_Muros_Placabase_Tipo_60;17
"15764";Kioskos_Tipo_40;2
"15325";Piscinas_Tipo_50;3
"25295";Kioskos_Tipo_40;12
"15816";Establos_Pesebreras_Tipo_40;4
"08832";Corrales_Tipo_40;17
"66687";Beneficiaderos_Tipo_60;144
"15469";Pozos_Tipo_60;1
"23555";Tanques_Tipo_40;7
"15599";Galpones_Gallineros_Tipo_60;6
"23570";Secaderos_Tipo_40;1
"68179";Cocheras_Marraneras_Porquerizas_Tipo_60;1
"66687";Establos_Pesebreras_Tipo_20;35
"50313";Cocheras_Marraneras_Porquerizas_Tipo_80;2
"68861";Establos_Pesebreras_Tipo_80;1
"63401";Pozos_Tipo_60;3
"25001";Tanques_Tipo_40;14
"66318";Establos_Pesebreras_Tipo_20;10
"68101";Marquesinas_Tipo_40;2
"23570";Piscinas_Tipo_50;1
"23570";Corrales_Tipo_60;28
"66687";Corrales_Tipo_60;2
"25001";Galpones_Gallineros_Tipo_40;25
"23570";Kioskos_Tipo_40;111
"68179";Piscinas_Tipo_50;1
"25295";Galpones_Gallineros_Tipo_60;14
"66318";Establos_Pesebreras_Tipo_40;16
"15599";Cocheras_Marraneras_Porquerizas_Tipo_40;57
"15469";Marquesinas_Tipo_60;128
"50313";Galpones_Gallineros_Tipo_60;16
"66383";Establos_Pesebreras_Tipo_60;9
"66045";Secaderos_Tipo_80;2
"15759";Silos_Tipo_60;1
"15861";Cocheras_Marraneras_Porquerizas_Tipo_40;5
"25183";Corrales_Tipo_40;2
"50313";Piscinas_Tipo_40;8
"15804";Kioskos_Tipo_80;1
"13430";Piscinas_Tipo_40;15
"13430";Piscinas_Tipo_60;6
"15835";Galpones_Gallineros_Tipo_20;3
"68573";Corrales_Tipo_80;1
"23079";Galpones_Gallineros_Tipo_20;2
"13430";Galpones_Gallineros_Tipo_60;1
"15759";Establos_Pesebreras_Tipo_40;9
"15325";Marquesinas_Tipo_20;3
"25183";Piscinas_Tipo_50;1
"66318";Tanques_Tipo_80;4
"15664";Marquesinas_Tipo_40;1
"25183";Corrales_Tipo_60;1
"23079";Tanques_Tipo_40;2
"23079";Establos_Pesebreras_Tipo_20;6
"25772";Piscinas_Tipo_50;2
"15325";Galpones_Gallineros_Tipo_40;10
"15325";Kioskos_Tipo_60;2
"63401";Piscinas_Tipo_40;42
"25001";Corrales_Tipo_40;3
"23555";Establos_Pesebreras_Tipo_40;59
"23350";Cocheras_Marraneras_Porquerizas_Tipo_40;3
"15861";Tanques_Tipo_40;1
"15469";Piscinas_Tipo_50;22
"63401";Kioskos_Tipo_60;129
"68101";Piscinas_Tipo_50;2
"66045";Galpones_Gallineros_Tipo_40;1
"68573";Kioskos_Tipo_60;3
"13430";Corrales_Tipo_80;2
"25772";Establos_Pesebreras_Tipo_40;14
"66318";Cocheras_Marraneras_Porquerizas_Tipo_60;25
"15816";Tanques_Tipo_60;1
"23555";Galpones_Gallineros_Tipo_40;9
"66045";Galpones_Gallineros_Tipo_80;1
"15469";Marquesinas_Tipo_80;4
"68745";Kioskos_Tipo_20;3
"50313";Kioskos_Tipo_40;21
"15599";Galpones_Gallineros_Tipo_40;4
"13836";Kioskos_Tipo_60;226
"25772";Silos_Tipo_80;1
"13836";Kioskos_Tipo_40;260
"68745";Kioskos_Tipo_80;2
"25001";Cocheras_Marraneras_Porquerizas_Tipo_40;18
"15664";Galpones_Gallineros_Tipo_40;2
"68573";Corrales_Tipo_20;20
"23555";Tanques_Tipo_80;11
"23570";Cocheras_Marraneras_Porquerizas_Tipo_40;2
"66687";Tanques_Tipo_80;4
"13836";Galpones_Gallineros_Tipo_80;1
"15835";Tanques_Tipo_20;3
"66045";Establos_Pesebreras_Tipo_20;28
"15469";Corrales_Tipo_40;4
"25001";Piscinas_Tipo_50;38
"15764";Galpones_Gallineros_Tipo_40;1
"25183";Establos_Pesebreras_Tipo_40;44
"68861";Kioskos_Tipo_60;4
"66687";Establos_Pesebreras_Tipo_60;45
"25295";Galpones_Gallineros_Tipo_80;3
"50313";Marquesinas_Tipo_80;2
"08832";Silos_Tipo_60;1
"13836";Cimientos_Estructura_Muros_Placabase_Tipo_60;1
"15599";Kioskos_Tipo_40;2
"68745";Establos_Pesebreras_Tipo_40;32
"66383";Establos_Pesebreras_Tipo_80;2
"25295";Establos_Pesebreras_Tipo_60;11
"23350";Piscinas_Tipo_60;1
"66687";Piscinas_Tipo_50;2
"15469";Galpones_Gallineros_Tipo_40;52
"23350";Albercas_Baniaderas_Tipo_60;1
"68745";Marquesinas_Tipo_40;6
"68861";Galpones_Gallineros_Tipo_60;1
"15299";Galpones_Gallineros_Tipo_40;1
"66045";Tanques_Tipo_40;42
"66318";Kioskos_Tipo_80;1
"15835";Marquesinas_Tipo_60;15
"15835";Galpones_Gallineros_Tipo_60;1
"15299";Marquesinas_Tipo_20;2
"23570";Corrales_Tipo_80;4
"25183";Galpones_Gallineros_Tipo_20;2
"15664";Establos_Pesebreras_Tipo_20;1
"68745";Piscinas_Tipo_60;2
"66383";Beneficiaderos_Tipo_60;110
"15861";Kioskos_Tipo_20;1
"13836";Cocheras_Marraneras_Porquerizas_Tipo_40;18
"15861";Establos_Pesebreras_Tipo_60;1
"15599";Tanques_Tipo_60;1
"25295";Cimientos_Estructura_Muros_Placabase_Tipo_40;15
"66687";Corrales_Tipo_80;2
"08832";Tanques_Tipo_40;8
"13430";Pozos_Tipo_40;2
"23079";Kioskos_Tipo_40;109
"68179";Establos_Pesebreras_Tipo_60;1
"50313";Cocheras_Marraneras_Porquerizas_Tipo_60;31
"15325";Marquesinas_Tipo_60;9
"23675";Piscinas_Tipo_50;7
"15798";Cocheras_Marraneras_Porquerizas_Tipo_40;2
"15664";Secaderos_Tipo_40;1
"15835";Marquesinas_Tipo_20;1
"25295";Piscinas_Tipo_50;2
"15764";Corrales_Tipo_40;1
"66383";Beneficiaderos_Tipo_40;76
"15380";Piscinas_Tipo_50;1
"25295";Corrales_Tipo_40;2
"15299";Establos_Pesebreras_Tipo_60;1
"15798";Kioskos_Tipo_40;2
"50313";Tanques_Tipo_60;8
"15804";Cocheras_Marraneras_Porquerizas_Tipo_80;3
"13836";Piscinas_Tipo_50;86
"23079";Establos_Pesebreras_Tipo_80;3
"66318";Kioskos_Tipo_40;1
"25001";Tanques_Tipo_80;1
"23079";Cocheras_Marraneras_Porquerizas_Tipo_40;1
"68745";Kioskos_Tipo_60;8
"15835";Piscinas_Tipo_40;3
"23079";Kioskos_Tipo_60;71
"23555";Kioskos_Tipo_60;102
"23555";Galpones_Gallineros_Tipo_60;2
"25001";Marquesinas_Tipo_80;3
"25295";Cimientos_Estructura_Muros_Placabase_Tipo_20;14
"25001";Marquesinas_Tipo_40;280
"23570";Establos_Pesebreras_Tipo_20;49
"50313";Kioskos_Tipo_80;4
"15861";Cocheras_Marraneras_Porquerizas_Tipo_60;1
"23350";Corrales_Tipo_20;69
"08832";Kioskos_Tipo_20;25
