"objectid";"id_operacion";"id";"no, fmi";"dirección territorial";"municipio";"fecha_envio_juridico";"folio_matriz";"divipola";"vereda";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"área registral m2";"coeficiente";"área coefieciente"
1649488;L11_348;348;348;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-34127";"13430";"13430010200000540";;"134300102000005400005000000000";Desenglobe_Division_Material;"064-35193";Privado_Privado;NPH;;;
1649487;L11_349;349;349;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-34127";"13430";"13430010200000540";;"134300102000005400005000000000";Desenglobe_Division_Material;"064-35194";Privado_Privado;NPH;;;
1649486;L11_350;350;350;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-34127";"13430";"13430010200000540";;"134300102000005400005000000000";Desenglobe_Division_Material;"064-35195";Privado_Privado;NPH;;;
1649485;L11_351;351;351;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-34127";"13430";"13430010200000540";;"134300102000005400005000000000";Desenglobe_Division_Material;"064-35196";Privado_Privado;NPH;;;
1649484;L11_352;352;352;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-34127";"13430";"13430010200000540";;"134300102000005400005000000000";Desenglobe_Division_Material;"064-35197";Privado_Privado;NPH;;;
1649334;L11_354;354;354;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-34126";"13430";"13430010200000540";;"134300102000005400004000000000";Desenglobe_Division_Material;"064-35198";Privado_Privado;NPH;;;
1649333;L11_355;355;355;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-34126";"13430";"13430010200000540";;"134300102000005400004000000000";Desenglobe_Division_Material;"064-35199";Privado_Privado;NPH;;;
1649332;L11_356;356;356;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-34126";"13430";"13430010200000540";;"134300102000005400004000000000";Desenglobe_Division_Material;"064-35200";Privado_Privado;NPH;;;
1649331;L11_357;357;357;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-34126";"13430";"13430010200000540";;"134300102000005400004000000000";Desenglobe_Division_Material;"064-35201";Privado_Privado;NPH;;;
1649330;L11_358;358;358;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-34126";"13430";"13430010200000540";;"134300102000005400004000000000";Desenglobe_Division_Material;"064-35202";Privado_Privado;NPH;;;
1649516;L11_569;569;569;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-3533";Privado_Privado;NPH;;;
1649698;L11_387;387;387;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-35451";Privado_Privado;NPH;;;
1649697;L11_388;388;388;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-35459";Privado_Privado;NPH;;;
1649491;L11_316;316;316;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-35190";"13430";"13430010200000287";;"134300102000002870007000000000";Desenglobe_Division_Material;"064-36336";Privado_Privado;NPH;;;
1649490;L11_317;317;317;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-35190";"13430";"13430010200000287";;"134300102000002870007000000000";Desenglobe_Division_Material;"064-36337";Privado_Privado;NPH;;;
1649489;L11_318;318;318;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-35190";"13430";"13430010200000287";;"134300102000002870007000000000";Desenglobe_Division_Material;"064-36338";Privado_Privado;NPH;;;
1649569;L11_516;516;516;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-3653";Privado_Privado;NPH;;;
1649696;L11_389;389;389;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-36582";Privado_Privado;NPH;;;
1649695;L11_390;390;390;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-36654";Privado_Privado;NPH;;;
1649184;L11_267;267;267;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-36998";"13430";SIN NPN;;SIN NPN;Cancelacion_por_Desenglobe;;;;;;
1649184;L11_267;255;255;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6368";"13430";"13430010200000404";;"134300102000004040001000000000";Desenglobe_Division_Material;"064-36998";Privado_Privado;NPH;;;
1649299;L11_252;252;252;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6368";"13430";"13430010200000404";;"134300102000004040001000000000";Desenglobe_Division_Material;"064-36999";Privado_Privado;NPH;;;
1649298;L11_253;253;253;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6368";"13430";"13430010200000404";;"134300102000004040001000000000";Desenglobe_Division_Material;"064-37000";Privado_Privado;NPH;;;
1649297;L11_254;254;254;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6368";"13430";"13430010200000404";;"134300102000004040001000000000";Desenglobe_Division_Material;"064-37001";Privado_Privado;NPH;;;
1649300;L11_251;251;251;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6368";"13430";"13430010200000404";;"134300102000004040001000000000";Desenglobe_Division_Material;"064-37002";Privado_Privado;NPH;;;
1649301;L11_250;250;250;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6368";"13430";"13430010200000404";;"134300102000004040001000000000";Desenglobe_Division_Material;"064-37003";Privado_Privado;NPH;;;
1649302;L11_249;249;249;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6368";"13430";"13430010200000404";;"134300102000004040001000000000";Desenglobe_Division_Material;"064-37004";Privado_Privado;NPH;;;
1649306;L11_245;245;245;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6368";"13430";"13430010200000404";;"134300102000004040001000000000";Desenglobe_Division_Material;"064-37005";Privado_Privado;NPH;;;
1649307;L11_244;244;244;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6368";"13430";"13430010200000404";;"134300102000004040001000000000";Desenglobe_Division_Material;"064-37006";Privado_Privado;NPH;;;
1649304;L11_247;247;247;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6368";"13430";"13430010200000404";;"134300102000004040001000000000";Desenglobe_Division_Material;"064-37007";Privado_Privado;NPH;;;
1649305;L11_246;246;246;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6368";"13430";"13430010200000404";;"134300102000004040001000000000";Desenglobe_Division_Material;"064-37008";Privado_Privado;NPH;;;
1649303;L11_248;248;248;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6368";"13430";"13430010200000404";;"134300102000004040001000000000";Desenglobe_Division_Material;"064-37009";Privado_Privado;NPH;;;
1649694;L11_391;391;391;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-37011";Privado_Privado;NPH;;;
1649568;L11_517;517;517;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-37053";Privado_Privado;NPH;;;
1649693;L11_392;392;392;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-37103";Privado_Privado;NPH;;;
