"objectid";"id_operacion";"codigo_orip";"matricula_inmobiliaria";"area_catastral_terreno";"numero_predial_nacional";"tipo";"condicion_predio";"destinacion_economica";"area_registral_m2";"tipo_referencia_fmi_antiguo";"coeficiente";"area_coeficiente";"globalid";"predioinformal_guid";"municipio";"referencia_registral";"gdb_geomattr_data";"shape"
1500374;"1540871";"083";"11642";270,00000000;"154690100000000060031000000000";Privado;NPH;Habitacional;;;;;{8AEEC517-7BC1-4F1A-B14C-94168ACB78DB};{00000000-0000-0000-0000-000000000000};;;;POINT (4936323,552830508 2207287,3629303873)
1240453;"1540873";"083";"12251";124,00000000;"154690100000000060033000000000";Privado;NPH;Habitacional;;;;;{5A8A7967-6C01-493B-AD7A-3E8C5BDE9953};{00000000-0000-0000-0000-000000000000};;;;POINT (4936333,34393288 2207289,9361976213)
1244196;"1541514";"083";"19083";53,00000000;"154690100000000240032000000000";Privado;NPH;Habitacional;;;;;{5F422D6B-D08E-43E3-AB3C-72D2B0195D8F};{00000000-0000-0000-0000-000000000000};;;;POINT (4936844,847831412 2207333,9970104136)
1467694;"1541516";"083";"25479";1827,00000000;"154690100000000240035000000000";Privado;NPH;Habitacional;;;;;{BD503070-489D-49D6-9480-80137E1BFCFD};{00000000-0000-0000-0000-000000000000};;;;POINT (4936797,92041464 2207411,4141467176)
1532515;"1542113";"083";"2106";110,00000000;"154690100000000410012000000000";Privado;NPH;Habitacional;;;;;{20C1458E-727F-4055-A643-44D0AADCFBA1};{00000000-0000-0000-0000-000000000000};;;;POINT (4937298,542994081 2207407,013066627)
1052462;"1542740";"083";"32988";147,00000000;"154690100000000610086000000000";Privado;NPH;Habitacional;;;;;{1CD2E1AE-BE8A-4772-9980-3CE08D59333A};{00000000-0000-0000-0000-000000000000};;;;POINT (4936359,266450796 2206764,7439303193)
1052463;"1542758";"083";"32998";140,00000000;"154690100000000610104000000000";Privado;NPH;Habitacional;;;;;{175187F0-3CE1-4B0A-AD27-3C703045655A};{00000000-0000-0000-0000-000000000000};;;;POINT (4936403,76656115 2206853,928353997)
1082686;"1543375";"083";"11397";85,00000000;"154690100000000820012000000000";Privado;NPH;Habitacional;;;;;{5033FCF9-E3F1-4FC9-83A1-194B6015258B};{00000000-0000-0000-0000-000000000000};;;;POINT (4936510,892001865 2207133,737694489)
1052533;"1543993";"083";"32528";78,00000000;"154690100000001170040000000000";Privado;NPH;Habitacional;;;;;{727AB3C9-DF8E-48B9-A02A-0EBC98E35D62};{00000000-0000-0000-0000-000000000000};;;;POINT (4936540,8210042 2207599,8639616426)
1175395;"1544000";"083";"32535";112,00000000;"154690100000001170047000000000";Privado;NPH;Habitacional;;;;;{10F466CC-0B14-4675-A332-30CA804ED7AD};{00000000-0000-0000-0000-000000000000};;;;POINT (4936578,381369408 2207628,0724662547)
