"uso_id","uso_nombre","tipo_uso","destino_economico","calificacion_anexo_id","calificacion_anexo_descripcion","cantidad"
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,29.00000000,"Beneficiaderos construidos en materiales económicos (bareque, tapia) pisos en tierra conservación regular a mala; se encuentran en este tipo los elementos apenas necesarios:  tanques, despulpaderos, canales, etc., en condiciones rudimentarias, comunes en fincas minifundistas.",1
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,33.00000000,"Estructura en bloque o ladrillo cubierta en zinc, teja de barro o paja; estado de conservación general bueno.",3
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,40.00000000,"Estructura metálica o de madera aserrada, formado por cuatro varales, pisos en cemento y conservación buena.",2
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,42.00000000,"Estructura en madera aserrada, formado por tres varales, pisos en tierra  y conservación general regular a  mala",2
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,43.00000000,"Estructura en madera burda, pisos en tierra y conservación general regular a mala.",3
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,50.00000000,"Altura entre 3 y 9 Mts., longitud 25  a 75 Mts.  Estructura y soportes en concreto o metálica.  Incluye piscina de acceso y sistema de bombeo y purificación.    ",3
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,53.00000000,Estructura metálica; cubierta cristalita o vidrio; piso en baldosa fina.,1
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,54.00000000,Estructura metálica; cubierta cristalita o vidrio; piso en baldosa común,1
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,55.00000000,Estructura metálica; cubierta de eternit y piso en cemento,1
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,60.00000000,Sin descripción asociada,5
2,RAMADAS - COBERTIZOS - CANEYES,NO CONVENCIONAL,ANEXO,,,873
3,GALPONES - GALLINEROS,NO CONVENCIONAL,ANEXO,4.00000000,"Estructura en madera común; cubierta de zinc, eternit o teja de barro; pisos en tierra; conservación regular o mala",2
3,GALPONES - GALLINEROS,NO CONVENCIONAL,ANEXO,5.00000000,"Estructura metálica  cubierta de zinc, eternit o teja de barro; semimuros en bloque o ladrillo; pisos de cemento; conservación general buena.",21
3,GALPONES - GALLINEROS,NO CONVENCIONAL,ANEXO,6.00000000,"Estructura ladrillo bloque; cubierta de zinc, eternit o teja de barro semimuros en bloque o ladrillo; pisos en cemento; conservación general buena o regular.",126
3,GALPONES - GALLINEROS,NO CONVENCIONAL,ANEXO,7.00000000,"Estructura en ladrillo o bloque; cubierta de zinc, eternit o teja de barro; con o sin muros; pisos en tierra; conservación regular mala.",347
3,GALPONES - GALLINEROS,NO CONVENCIONAL,ANEXO,8.00000000,Estructura en madera;  cubierta de zinc; eternit o teja de barro; con o sin muros; pisos en tierra; conservación regular o mala.,123
3,GALPONES - GALLINEROS,NO CONVENCIONAL,ANEXO,,,10
4,ESTABLOS - PESEBRERAS - CABALLERIZAS,NO CONVENCIONAL,ANEXO,4.00000000,"Estructura en madera común; cubierta de zinc, eternit o teja de barro; pisos en tierra; conservación regular o mala",1
4,ESTABLOS - PESEBRERAS - CABALLERIZAS,NO CONVENCIONAL,ANEXO,9.00000000,"Estructura metálica;  cubierta de zinc, eternit o teja de barro muros en bloque o ladrillo, pisos de cemento, conservación en genera buena.",57
4,ESTABLOS - PESEBRERAS - CABALLERIZAS,NO CONVENCIONAL,ANEXO,10.00000000,"Estructura en bloque o ladrillo; cubierta de zinc, eternit o tejas de barro muros en bloque o ladrillo, pisos de cemento, conservación en genera buena o regular.",495
4,ESTABLOS - PESEBRERAS - CABALLERIZAS,NO CONVENCIONAL,ANEXO,11.00000000,"Estructura en ladrillo; cubierta de zinc, eternit o tejas de barro muros en bloque o ladrillo, pisos en tierra, conservación regular o mala.",790
