"objectid";"id_operacion";"id";"no, fmi";"dirección territorial";"municipio";"fecha_envio_juridico";"folio_matriz";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"área registral m2";"coeficiente";"área coefieciente";"field15"
1642164;L5_684;684;684;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639499";Privado_Privado;NPH;"783.41";;;
1642165;L5_683;683;683;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639486";Privado_Privado;NPH;"1200.92";;;
1642166;L5_682;682;682;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639501";Privado_Privado;NPH;"638.69000000000005";;;
1642167;L5_681;681;681;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639500";Privado_Privado;NPH;"848.22";;;
1642168;L5_680;680;680;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639502";Privado_Privado;NPH;"943.53";;;
1642169;L5_679;679;679;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639506";Privado_Privado;NPH;"761.15";;;
1642170;L5_678;678;678;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639508";Privado_Privado;NPH;"960.7";;;
1642171;L5_677;677;677;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639498";Privado_Privado;NPH;"841.3";;;
1642172;L5_676;676;676;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639492";Privado_Privado;NPH;"1271.01";;;
1642173;L5_675;675;675;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639491";Privado_Privado;NPH;"889.18";;;
1642174;L5_674;674;674;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639490";Privado_Privado;NPH;"783.81";;;
1642175;L5_673;673;673;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639489";Privado_Privado;NPH;"667.57";;;
1642176;L5_672;672;672;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639574";Privado_Privado;NPH;"675.85";;;
1642177;L5_671;671;671;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639511";Privado_Privado;NPH;"704.41";;;
1642178;L5_670;670;670;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639568";Privado_Privado;NPH;"1228.6300000000001";;;
1642179;L5_669;669;669;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639548";Privado_Privado;NPH;"1160.4100000000001";;;
1642180;L5_668;668;668;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639549";Privado_Privado;NPH;"1045.43";;;
1642181;L5_667;667;667;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639550";Privado_Privado;NPH;"1045.43";;;
1642182;L5_666;666;666;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639567";Privado_Privado;NPH;"1180.06";;;
1642183;L5_665;665;665;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639569";Privado_Privado;NPH;"1103.71";;;
1642184;L5_664;664;664;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639547";Privado_Privado;NPH;"1066.28";;;
1642185;L5_663;663;663;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639546";Privado_Privado;NPH;"1045.43";;;
1642186;L5_662;662;662;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639545";Privado_Privado;NPH;"1045.43";;;
1642187;L5_661;661;661;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639541";Privado_Privado;NPH;"1045.43";;;
1642188;L5_660;660;660;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639542";Privado_Privado;NPH;"641.07000000000005";;;
1642189;L5_659;659;659;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639551";Privado_Privado;NPH;"764.58";;;
1642190;L5_658;658;658;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639570";Privado_Privado;NPH;"1045.43";;;
1642191;L5_657;657;657;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639544";Privado_Privado;NPH;"682.34";;;
1642192;L5_656;656;656;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639496";Privado_Privado;NPH;"998.81";;;
1642193;L5_655;655;655;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639543";Privado_Privado;NPH;"1145.07";;;
1642194;L5_654;654;654;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639571";Privado_Privado;NPH;"990.88";;;
1642195;L5_653;653;653;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639552";Privado_Privado;NPH;"1173.73";;;
1642196;L5_652;652;652;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639553";Privado_Privado;NPH;"1173.73";;;
1642197;L5_651;651;651;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639576";Privado_Privado;NPH;"1106.8699999999999";;;
1642198;L5_650;650;650;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639562";Privado_Privado;NPH;"731.67";;;
1642199;L5_649;649;649;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639575";Privado_Privado;NPH;"1105.2";;;
1642200;L5_648;648;648;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639563";Privado_Privado;NPH;"719.08";;;
1642201;L5_647;647;647;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639573";Privado_Privado;NPH;"758.15";;;
1642202;L5_646;646;646;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639561";Privado_Privado;NPH;"777.1";;;
1642203;L5_645;645;645;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639560";Privado_Privado;NPH;"661.21";;;
1642204;L5_644;644;644;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639577";Privado_Privado;NPH;"660.5";;;
1642205;L5_643;643;643;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639559";Privado_Privado;NPH;"776.11";;;
1642206;L5_642;642;642;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639554";Privado_Privado;NPH;"660.5";;;
1642207;L5_641;641;641;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639565";Privado_Privado;NPH;"757.85";;;
1642208;L5_640;640;640;ATLÁNTICO;TUBARÁ;"6/10/2025";"040-639479";;SIN NPN;Desenglobe_Venta_Parcial;"040-639566";Privado_Privado;NPH;"757.85";;;
