"left";"tipo_tipologia";"count"
"15299";Comercial_Especializado_3_2033133;1
"68573";Residencial_Tipo_3_menos_1004113;384
"68573";Institucional_Tipo_2_5011122;12
"68573";Institucional_Salud_1_7011121;1
"70124";Residencial_Tipo_3_menos_1004113;95
"15835";Residencial_Tipo_3_mas_1011133;158
"08832";Institucional_Tipo_2_5011122;22
"15189";Residencial_Tipo_1_1014011;323
"15325";Conservacion_Residencial_Sencilla_Tipo_2_4024022;1
"15293";Residencial_Tipo_4_menos_1024114;3
"66383";Residencial_Tipo_2_1004122;426
"15664";Industrial_Mediana_1_3011132;9
"15759";ED_Multifamiliar_Medio_9026505;218
"15816";Institucional_Tipo_1_5014111;6
"66045";Residencial_Tipo_5_menos_1011115;8
"70124";Institucional_Tipo_6_5011111;4
"08832";Residencial_Tipo_5_1021125;36
"15686";Residencial_Tipo_3_mas_1011133;134
"15299";Industrial_Pesada_1_3023132;4
"15325";Residencial_Tipo_4_1021134;87
"68101";Institucional_Tipo_3_5021143;2
"15804";Institucional_Salud_2_7021132;1
"66687";Industrial_Pesada_1_3023132;3
"68101";Institucional_Tipo_1_5014111;24
"15759";Institucional_Tipo_4_5036144;2
"25295";Residencial_Tipo_1_1014011;91
"23675";Comercial_Intermedio_3_2026532;1
"15599";Comercial_Intermedio_1_2021132;31
"15759";Industrial_Pesada_1_3023132;128
"66687";Comercial_Intermedio_3_2026532;7
"25772";Industrial_Pesada_1_3023132;8
"15599";Comercial_Intermedio_3_2026532;50
"15764";Comercial_Especializado_1_2023123;25
"25772";Residencial_Tipo_5_menos_1011115;41
"15380";Residencial_Tipo_3_mas_1011133;65
"25295";Residencial_Tipo_3_mas_1011133;222
"25295";Comercial_Intermedio_3_2026532;99
"15764";Comercial_Intermedio_2_2021532;32
"15761";Industrial_Pesada_1_3023132;1
"15469";Comercial_Especializado_2_2036543;62
"15759";Institucional_Tipo_3_5021143;101
"15761";Residencial_Tipo_5_1021125;2
"63401";Residencial_Tipo_3_mas_1011133;311
"23555";Institucional_Religioso_Tipo_2_6031132;1
"63401";Institucional_Religioso_Tipo_1_6021131;9
"66383";Comercial_Especializado_2_2036543;2
"15804";Residencial_Tipo_4_1021134;76
"13836";Comercial_Especializado_2_2036543;46
"15804";Institucional_Religioso_Tipo_1_6021131;2
"15759";Residencial_Tipo_6_1031126;8
"66045";Residencial_Tipo_3_menos_1004113;874
"15804";Institucional_Tipo_1_5014111;13
"68673";Institucional_Religioso_Tipo_1_6021131;2
"25772";Residencial_Tipo_1_1014011;295
"66383";Industrial_Pesada_1_3023132;3
"66318";ED_Servicios_Tipo_1_9026547;4
"15804";Residencial_Tipo_3_menos_1004113;569
"66383";Residencial_Tipo_0_1002311;1
"23555";Residencial_Tipo_1_1014011;3529
"15835";Institucional_Tipo_2_5011122;13
"66045";Institucional_Salud_2_7021132;3
"25772";Institucional_Tipo_1_5014111;6
"15599";ED_Servicios_Tipo_1_9026547;4
"23555";ED_Servicios_Tipo_1_9026547;40
"25295";ED_Servicios_Tipo_1_9026547;5
"08832";Institucional_Tipo_7_5021132;4
"25001";Residencial_Tipo_4_menos_1024114;61
"23555";Institucional_Tipo_5_Prefabricado_5015510;1
"68745";Residencial_Tipo_4_1021134;109
"15816";Institucional_Tipo_3_5021143;2
"15599";Residencial_Tipo_5_1021125;324
"25295";Comercial_Basico_2_2014111;1
"23555";Residencial_Tipo_5_menos_1011115;43
"23675";Residencial_Tipo_5_menos_1011115;4
"15293";Institucional_Tipo_5_Prefabricado_5015510;4
"15761";Institucional_Tipo_6_5011111;4
"25001";Residencial_Tipo_5_1021125;21
"23350";Residencial_Tipo_2_1004122;1724
"25183";Comercial_Especializado_3_2033133;3
"15380";Institucional_Tipo_5_Prefabricado_5015510;6
"13836";Institucional_Salud_2_7021132;7
"15325";Institucional_Tipo_1_5014111;3
"68179";Residencial_Tipo_4_1021134;8
"25295";Comercial_Intermedio_2_2021532;61
"13836";Residencial_Tipo_5_menos_1011115;869
"15664";Residencial_Tipo_4_menos_1024114;7
"23079";Comercial_Especializado_1_2023123;27
"66687";Residencial_Tipo_0_1002311;27
"15816";Comercial_Especializado_1_2023123;6
"25183";Industrial_Mediana_1_3011132;65
"63401";Conservacion_Construccion_Tipo_4_Restaurada_4034024;1
"15325";Comercial_Intermedio_3_2026532;2
"15816";Residencial_Tipo_3_mas_1011133;76
"15189";Residencial_Tipo_5_menos_1011115;2
"15686";Institucional_Tipo_1_5014111;3
"15759";Institucional_Tipo_6_5011111;559
"25295";Institucional_Religioso_Tipo_1_6021131;5
"68101";Comercial_Especializado_1_2023123;19
"15325";Institucional_Tipo_3_5021143;3
"15879";Residencial_Tipo_1_1014011;774
"15469";Institucional_Tipo_5_Prefabricado_5015510;4
"23555";Industrial_Mediana_1_3011132;85
"63401";Institucional_Tipo_5_Prefabricado_5015510;2
"66383";Institucional_Tipo_3_5021143;3
"15686";Residencial_Tipo_5_mas_1031135;1
"13836";Industrial_Liviana_2_3001121;124
"15761";Comercial_Intermedio_1_2021132;15
"66318";Comercial_Intermedio_1_2021132;22
"23570";Industrial_Mediana_1_3011132;9
"23079";Institucional_Tipo_3_5021143;6
"13430";Residencial_Tipo_6_1031126;3
"15759";Residencial_Tipo_4_1021134;11647
"15299";Comercial_Especializado_1_2023123;94
"15299";Institucional_Salud_3_7031173;3
"68179";Institucional_Salud_1_7011121;3
"15764";Comercial_Intermedio_1_2021132;5
"68745";Residencial_Tipo_1_1014011;546
"23675";Residencial_Tipo_3_mas_1011133;153
"68745";Industrial_Liviana_2_3001121;10
"15759";Residencial_Tipo_3_mas_1011133;6370
"23079";Comercial_Especializado_2_2036543;1
"68179";Residencial_Tipo_3_mas_1011133;38
"66687";Comercial_Especializado_1_2023123;50
"15835";Institucional_Tipo_1_5014111;8
"66045";Institucional_Tipo_1_5014111;10
"68573";Comercial_Basico_2_2014111;3
"15599";Institucional_Religioso_Tipo_2_6031132;1
"15189";Institucional_Tipo_1_5014111;6
"15664";Institucional_Tipo_6_5011111;2
"15761";Institucional_Tipo_2_5011122;6
"15599";Institucional_Religioso_Tipo_1_6021131;5
"68179";Comercial_Especializado_1_2023123;1
"15761";Residencial_Tipo_0_1002311;3
"23570";Institucional_Salud_1_7011121;2
"15299";Institucional_Tipo_2_5011122;15
"15842";Residencial_Tipo_2_1004122;916
"66045";Residencial_Tipo_4_1021134;387
"68573";Residencial_Tipo_1_1014011;482
"68861";Institucional_Tipo_6_5011111;35
"15816";Comercial_Intermedio_1_2021132;5
"15835";Residencial_Tipo_1_1014011;1059
"68745";ED_Servicios_Tipo_1_9026547;8
"15325";Institucional_Salud_2_7021132;2
"68573";ED_Servicios_Tipo_1_9026547;8
"23675";Institucional_Tipo_7_5021132;1
"23350";Residencial_Tipo_3_menos_1004113;815
"25772";Residencial_Tipo_5_mas_1031135;1
"68745";Comercial_Intermedio_2_2021532;46
"66318";Institucional_Tipo_2_5011122;32
"15686";Institucional_Tipo_5_Prefabricado_5015510;3
"15759";Conservacion_Construccion_Tipo_5_Restaurada_Con_Reforzamiento_4031035;1
"63401";Residencial_Tipo_4_1021134;1355
"15798";Institucional_Salud_3_7031173;1
"15842";Comercial_Intermedio_2_2021532;19
"15764";Residencial_Tipo_5_menos_1011115;4
"15804";Residencial_Tipo_5_menos_1011115;10
"15804";Comercial_Especializado_1_2023123;11
"15798";Residencial_Tipo_5_mas_1031135;1
"15816";Residencial_Tipo_5_1021125;1
"66687";Residencial_Tipo_3_menos_1004113;834
"23570";ED_Servicios_Tipo_1_9026547;14
"25183";Institucional_Tipo_6_5011111;18
"15325";Residencial_Tipo_0_1002311;3
"23555";Institucional_Tipo_6_5011111;85
"13430";Institucional_Tipo_6_5011111;185
"15804";Comercial_Intermedio_2_2021532;91
"68573";Residencial_Tipo_0_1002311;18
"23675";Residencial_Tipo_1_1014011;3070
"25772";Comercial_Intermedio_2_2021532;65
"13836";Residencial_Tipo_3_mas_1011133;5061
"68745";Residencial_Tipo_5_menos_1011115;8
"23675";Institucional_Tipo_2_5011122;41
"23079";Residencial_Tipo_3_menos_1004113;686
"13430";Residencial_Tipo_4_1021134;1843
"25001";Industrial_Mediana_1_3011132;43
"08832";Residencial_Tipo_0_1002311;26
"66383";Comercial_Basico_2_2014111;1
"15299";Institucional_Tipo_5_Prefabricado_5015510;11
