id;no, fmi;dirección territorial;municipio;fecha_envio_juridico;folio_matriz;novedadfmi_tipo;npnmatriz;novedad_numero_predial;folio_derivados;predio tipo;condicion prop derivado;árearegistralm2;coeficiente;área coefieciente;id_operacion_db
13973;13973;BOYACÁ;SOGAMOSO;22/08/2025;095-158224;;1,5759E+29;Desenglobe_Division_Material;095-165936;Privado_Privado;PH_Unidad_Predial;54.96;0.20830000000000001;54.96;14142767-5246
3039;3039;BOLÍVAR;TURBACO;4/07/2025;060-26770;;1,3836E+29;Desenglobe_Division_Material;060-349768;Privado_Privado;NPH;295.32;;;1097944-1493
14679;14679;BOYACÁ;SOGAMOSO;22/08/2025;095-81592;;"	15590102000005640007000000000";Desenglobe_Division_Material;095-159831;Publico_Uso_Publico;Via;189.46;;;13524391-6568
13120;13120;BOYACÁ;SOGAMOSO;28/07/2025;095-165636;;SIN NPN;Desenglobe_Division_Material;095-166556;Privado_Privado;PH_Unidad_Predial;;;;L2-6325
8647;8647;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-79910;Privado_Privado;NPH;;;;13401270-11090
9069;9069;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-80328;Privado_Privado;NPH;;;;13401270-10679
2477;2477;BOLÍVAR;TURBACO;23/05/2025;060-346092;;SIN NPN;Desenglobe_Division_Material;060-346789;Privado_Privado;NPH;;;;L2-3171
5732;5732;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-77009;Privado_Privado;NPH;;;;13401270-8543
7516;7516;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-78787;Privado_Privado;NPH;;;;13401270-9393
1502;1502;BOLÍVAR;TURBACO;23/05/2025;060-19504;;1,3836E+29;Desenglobe_Division_Material;060-324892;Privado_Privado;PH_Unidad_Predial;;;;1097579-783
9847;9847;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-81105;Privado_Privado;NPH;;;;13401270-9580
8393;8393;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-79658;Privado_Privado;NPH;;;;13401270-9830
7154;7154;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-78427;Privado_Privado;NPH;;;;13401270-9008
8581;8581;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-79845;Privado_Privado;NPH;;;;13401270-11862
3676;3676;BOLÍVAR;TURBACO;26/05/2025;060-340194;;SIN NPN;Desenglobe_Division_Material;060-370509;Privado_Privado;NPH;;;;L2-2610
6728;6728;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-78003;Privado_Privado;NPH;;;;13401270-9087
4398;4398;META;GRANADA;20/06/2025;236-19640;;5,0313E+29;Desenglobe_Division_Material;236-71433;Privado_Privado;PH_Unidad_Predial;;;;4752584-7176
11635;11635;BOYACÁ;LA CAPILLA;6/06/2025;079-25546;;1,538E+29;Desenglobe_Division_Material;079-46340;Privado_Privado;NPH;134;;;1487604-4322
10377;10377;META;GRANADA;18/07/2025;236-87598;;SIN NPN;Desenglobe_Division_Material;236-101854;Privado_Privado;NPH;;;;L2-12848
11859;11859;BOYACÁ;MONIQUIRÁ;30/05/2025;083-43359;;1,5469E+29;Desenglobe_Division_Material;083-46084;Privado_Privado;PH_Unidad_Predial;163.94;13.004;163.94;1541597-4707
7426;7426;META;GRANADA;29/05/2025;236-74377;;5,0313E+29;Desenglobe_Division_Material;236-78697;Privado_Privado;NPH;;;;13401270-7830
14820;14820;BOYACÁ;SORACÁ;6/06/2025;070-205483;;1,5764E+29;Desenglobe_Division_Material;070-255131;Privado_Privado;NPH;;;;13526862-4135
