"objectid";"id_operacion";"id";"no, fmi";"dirección territorial";"municipio";"fecha_envio_juridico";"folio_matriz";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"área registral m2";"coeficiente";"área coefieciente"
1640933;L4_417;417;417;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45633";Privado_Privado;NPH;"72.22";;
1640934;L4_418;418;418;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45634";Privado_Privado;NPH;"72.39";;
1640935;L4_419;419;419;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45635";Privado_Privado;NPH;"83.72";;
1641101;L4_42;42;42;BOYACÁ;RAMIRIQUÍ;2025-09-29;"090-27506";;"155990000000000200486000000000";Desenglobe_Venta_Parcial;"090-62179";Privado_Privado;NPH;"4432";;
1640936;L4_420;420;420;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45636";Publico_Uso_Publico;Via;"644.65";;
1640937;L4_421;421;421;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45637";Publico_Uso_Publico;Bien_Uso_Publico;"261.52999999999997";;
1640938;L4_422;422;422;BOYACÁ;GUAYATA;2025-09-29;"079-41146";;"153250000000000030160000000000";Desenglobe_Division_Material;"079-45638";Publico_Uso_Publico;Bien_Uso_Publico;"536.78";;
1640990;L4_428;428;428;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45718";Privado_Privado;NPH;"77.98";;
1640986;L4_429;429;429;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45719";Privado_Privado;NPH;"87.13";;
1641097;L4_43;43;43;BOYACÁ;RAMIRIQUÍ;2025-09-29;"090-27506";;"155990000000000200486000000000";Desenglobe_Venta_Parcial;"090-61809";Privado_Privado;NPH;"1657";;
1640985;L4_430;430;430;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45720";Privado_Privado;NPH;"85.82";;
1640984;L4_431;431;431;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45721";Privado_Privado;NPH;"84.51";;
1640989;L4_432;432;432;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45722";Privado_Privado;NPH;"75.98";;
1640988;L4_433;433;433;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45723";Privado_Privado;NPH;"72.06";;
1640987;L4_434;434;434;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45724";Privado_Privado;NPH;"72";;
1640991;L4_435;435;435;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45725";Privado_Privado;NPH;"72";;
1640992;L4_436;436;436;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45726";Privado_Privado;NPH;"72.28";;
1640993;L4_437;437;437;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45727";Privado_Privado;NPH;"73.61";;
1640994;L4_438;438;438;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45728";Privado_Privado;NPH;"72.11";;
1640995;L4_439;439;439;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45729";Privado_Privado;NPH;"72.13";;
1641099;L4_44;44;44;BOYACÁ;RAMIRIQUÍ;2025-09-29;"090-27506";;"155990000000000200486000000000";Desenglobe_Venta_Parcial;"090-61749";Privado_Privado;NPH;"1798";;
1640996;L4_440;440;440;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45730";Privado_Privado;NPH;"92.57";;
1640997;L4_441;441;441;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45731";Privado_Privado;NPH;"78";;
1640998;L4_442;442;442;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45732";Privado_Privado;NPH;"78";;
