"objectid";"id_operacion";"id";"folio_matriz";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"árearegistralm2";"coeficiente";"área coefieciente";"count"
1638161;"1774947-1085R1132";1132;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158813";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638159;"1774947-1085R1134";1134;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158814";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638157;"1774947-1085R1136";1136;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158815";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638162;"1774947-1085R1135";1135;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158816";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638165;"1774947-1085R1130";1130;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158817";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638163;"1774947-1085R1129";1129;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158818";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638180;"1774947-1085R1126";1126;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158819";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638164;"1774947-1085R1128";1128;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158820";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638177;"1774947-1085R1123";1123;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158821";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638178;"1774947-1085R1124";1124;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158822";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
