id_operacion;no, fmi;dirección territorial;municipio;fecha_envio_juridico;folio_matriz;novedadfmi_tipo;npnmatriz;novedad_numero_predial;folio_derivados;predio tipo;condicion prop derivado;área registral m2;coeficiente;área coefieciente;field15
L5_694;694;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639564;Privado_Privado;NPH;666.09;;;
L5_693;693;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639484;Privado_Privado;NPH;756.45;;;
L5_692;692;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639481;Privado_Privado;NPH;628.27;;;
L5_691;691;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639493;Privado_Privado;NPH;976.82;;;
L5_690;690;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639485;Privado_Privado;NPH;708.4;;;
L5_689;689;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639509;Privado_Privado;NPH;750.36;;;
L5_688;688;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639487;Privado_Privado;NPH;870.07;;;
L5_687;687;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639507;Privado_Privado;NPH;676.29;;;
L5_686;686;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639504;Privado_Privado;NPH;843.57;;;
L5_685;685;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639503;Privado_Privado;NPH;791.15;;;
L5_684;684;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639499;Privado_Privado;NPH;783.41;;;
L5_683;683;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639486;Privado_Privado;NPH;1200.92;;;
L5_682;682;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639501;Privado_Privado;NPH;63.869.000.000.000.000;;;
L5_681;681;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639500;Privado_Privado;NPH;848.22;;;
L5_680;680;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639502;Privado_Privado;NPH;943.53;;;
L5_679;679;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639506;Privado_Privado;NPH;761.15;;;
L5_678;678;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639508;Privado_Privado;NPH;960.7;;;
L5_677;677;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639498;Privado_Privado;NPH;841.3;;;
L5_676;676;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639492;Privado_Privado;NPH;1271.01;;;
L5_675;675;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639491;Privado_Privado;NPH;889.18;;;
L5_674;674;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639490;Privado_Privado;NPH;783.81;;;
L5_673;673;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639489;Privado_Privado;NPH;667.57;;;
L5_672;672;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639574;Privado_Privado;NPH;675.85;;;
L5_671;671;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639511;Privado_Privado;NPH;704.41;;;
L5_670;670;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639568;Privado_Privado;NPH;12.286.300.000.000.000;;;
L5_669;669;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639548;Privado_Privado;NPH;11.604.100.000.000.000;;;
L5_668;668;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639549;Privado_Privado;NPH;1045.43;;;
L5_667;667;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639550;Privado_Privado;NPH;1045.43;;;
L5_666;666;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639567;Privado_Privado;NPH;1180.06;;;
L5_665;665;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639569;Privado_Privado;NPH;1103.71;;;
L5_664;664;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639547;Privado_Privado;NPH;1066.28;;;
L5_663;663;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639546;Privado_Privado;NPH;1045.43;;;
L5_662;662;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639545;Privado_Privado;NPH;1045.43;;;
L5_661;661;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639541;Privado_Privado;NPH;1045.43;;;
L5_660;660;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639542;Privado_Privado;NPH;64.107.000.000.000.000;;;
L5_659;659;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639551;Privado_Privado;NPH;764.58;;;
L5_658;658;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639570;Privado_Privado;NPH;1045.43;;;
L5_657;657;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639544;Privado_Privado;NPH;682.34;;;
L5_656;656;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639496;Privado_Privado;NPH;998.81;;;
L5_655;655;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639543;Privado_Privado;NPH;1145.07;;;
L5_654;654;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639571;Privado_Privado;NPH;990.88;;;
L5_653;653;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639552;Privado_Privado;NPH;1173.73;;;
L5_652;652;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639553;Privado_Privado;NPH;1173.73;;;
L5_651;651;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639576;Privado_Privado;NPH;11.068.699.999.999.900;;;
L5_650;650;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639562;Privado_Privado;NPH;731.67;;;
L5_649;649;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639575;Privado_Privado;NPH;1105.2;;;
L5_648;648;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639563;Privado_Privado;NPH;719.08;;;
L5_647;647;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639573;Privado_Privado;NPH;758.15;;;
L5_646;646;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639561;Privado_Privado;NPH;777.1;;;
L5_645;645;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639560;Privado_Privado;NPH;661.21;;;
L5_644;644;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639577;Privado_Privado;NPH;660.5;;;
L5_643;643;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639559;Privado_Privado;NPH;776.11;;;
L5_642;642;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639554;Privado_Privado;NPH;660.5;;;
